Jornada,Minuto,jugador,Tipo de Gol
32,21,"ALARCON CAVERO, JOEL",Normal
32,40,"MONTES MORALES, ADRIAN",Normal
32,63,"SALAMANCA GALERA, AITOR",Normal
32,74,"LUNEGRO, BRUNO",Normal
