Jornada,Minuto,jugador,Tipo de Gol
33,35,"AMENGUAL LIRIO, IVAN",Normal
33,52,"MASCARO MARTINEZ, IKER",Normal
33,80,"SANCHO OLIVER, PEDRO",Normal
33,85,"KRZYZYK SERRANO, PEDRO",Normal
