Jornada,Minuto,jugador,Tipo de Gol
27,43,"COMPANY INGLA, JAUME",Normal
27,71,"ROMAN DE REMENTERIA, ASIER",Penalti
27,80,"HOLLINGSWORTH, HARRY RICHARD",Normal
