Jornada,Minuto,jugador,Tipo de Gol
30,5,"BERNASCONI, SANTINO",Normal
30,25,"RODRIGUEZ ROIG, ARIAN",Normal
30,44,"RODRIGUEZ ROIG, ARIAN",Normal
