jornada,equipo_local,equipo_visitante,cod_acta,link_acta
21,UD MAHON,"PENYA INDEPENDENT ""A""",670695,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670695&cod_acta=670695
21,PALMA F.C.,"FERRERIES ""A""",670696,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670696&cod_acta=670696
21,"SAN FRANCISCO ""B""","PENYA ARRABAL ""A""",670697,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670697&cod_acta=670697
21,"SANTA CATALINA ATº ""A""","SD LA SALLE ""A""",670698,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670698&cod_acta=670698
21,"PLA DE NA TESA ""A""","MALLORCA ""B""",670699,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670699&cod_acta=670699
21,"CONSTANCIA ""A""","POBLENSE ""A""",670700,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670700&cod_acta=670700
21,"PLATGES DE CALVIA ""A""",SP. ATº CIUTAT DE PALMA,670701,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670701&cod_acta=670701
21,"ANDRATX ""A""","PENYA CIUTADELLA ESPORTIVA ""A""",670549,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670549&cod_acta=670549
21,"U D IBIZA ""A""","MANACOR ""A""",670703,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670703&cod_acta=670703
