jornada,equipo_local,equipo_visitante,cod_acta,link_acta
26,"SD LA SALLE ""A""","PENYA ARRABAL ""A""",670740,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670740&cod_acta=670740
26,"MALLORCA ""B""","FERRERIES ""A""",670741,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670741&cod_acta=670741
26,"POBLENSE ""A""","PENYA INDEPENDENT ""A""",670742,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670742&cod_acta=670742
26,SP. ATº CIUTAT DE PALMA,PALMA F.C.,670743,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670743&cod_acta=670743
26,"ANDRATX ""A""","SAN FRANCISCO ""B""",670744,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670744&cod_acta=670744
26,"MANACOR ""A""","SANTA CATALINA ATº ""A""",670745,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670745&cod_acta=670745
26,"U D IBIZA ""A""","PLA DE NA TESA ""A""",670746,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670746&cod_acta=670746
26,"PENYA CIUTADELLA ESPORTIVA ""A""","CONSTANCIA ""A""",670747,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670747&cod_acta=670747
26,"PLATGES DE CALVIA ""A""",UD MAHON,670748,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670748&cod_acta=670748
