jornada,equipo_local,equipo_visitante,cod_acta,link_acta
18,PALMA F.C.,"SAN FRANCISCO ""B""",670668,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670668&cod_acta=670668
18,"PENYA INDEPENDENT ""A""","SANTA CATALINA ATº ""A""",670669,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670669&cod_acta=670669
18,"FERRERIES ""A""","PLA DE NA TESA ""A""",670670,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670670&cod_acta=670670
18,"PENYA ARRABAL ""A""","CONSTANCIA ""A""",670671,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670671&cod_acta=670671
18,"SD LA SALLE ""A""","PLATGES DE CALVIA ""A""",670672,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670672&cod_acta=670672
18,"MALLORCA ""B""","PENYA CIUTADELLA ESPORTIVA ""A""",670673,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670673&cod_acta=670673
18,"POBLENSE ""A""","U D IBIZA ""A""",670674,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670674&cod_acta=670674
18,SP. ATº CIUTAT DE PALMA,"MANACOR ""A""",670675,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670675&cod_acta=670675
18,"ANDRATX ""A""",UD MAHON,,
