jornada,equipo_local,equipo_visitante,cod_acta,link_acta
23,UD MAHON,"FERRERIES ""A""",670713,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670713&cod_acta=670713
23,"PENYA INDEPENDENT ""A""","PENYA ARRABAL ""A""",,
23,PALMA F.C.,"SD LA SALLE ""A""",670715,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670715&cod_acta=670715
23,"SAN FRANCISCO ""B""","MALLORCA ""B""",670716,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670716&cod_acta=670716
23,"SANTA CATALINA ATº ""A""","POBLENSE ""A""",670717,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670717&cod_acta=670717
23,"PLA DE NA TESA ""A""",SP. ATº CIUTAT DE PALMA,670718,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670718&cod_acta=670718
23,"CONSTANCIA ""A""","ANDRATX ""A""",670719,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670719&cod_acta=670719
23,"PLATGES DE CALVIA ""A""","MANACOR ""A""",670720,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670720&cod_acta=670720
23,"PENYA CIUTADELLA ESPORTIVA ""A""","U D IBIZA ""A""",670721,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670721&cod_acta=670721
