jornada,equipo_local,equipo_visitante,cod_acta,link_acta
6,"FERRERIES ""A""",UD MAHON,670560,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670560&cod_acta=670560
6,"PENYA ARRABAL ""A""","PENYA INDEPENDENT ""A""",670561,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670561&cod_acta=670561
6,"SD LA SALLE ""A""",PALMA F.C.,670562,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670562&cod_acta=670562
6,"MALLORCA ""B""","SAN FRANCISCO ""B""",670563,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670563&cod_acta=670563
6,"POBLENSE ""A""","SANTA CATALINA ATº ""A""",670564,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670564&cod_acta=670564
6,SP. ATº CIUTAT DE PALMA,"PLA DE NA TESA ""A""",670565,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670565&cod_acta=670565
6,"ANDRATX ""A""","CONSTANCIA ""A""",670566,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670566&cod_acta=670566
6,"MANACOR ""A""","PLATGES DE CALVIA ""A""",670567,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670567&cod_acta=670567
6,"U D IBIZA ""A""","PENYA CIUTADELLA ESPORTIVA ""A""",670568,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670568&cod_acta=670568
