jugador_entra,jugador_sale,Minuto,equipo
"GRANDA VILLAVICENCIO, DAVID JOAN","FERRER TORRES, PEDRO",45,PENYA INDEPENDENT A
"IRUELA KLISHINA, DAVID","EL HABBOULA EL KORTOBI, ABDELMOIZE",70,PENYA INDEPENDENT A
"JUAN GUASCH, JORDI MIQUEL","BERNHARDT, JOEL PIOTR",76,PENYA INDEPENDENT A
"BASILIO FERNANDEZ, MARC","LOPEZ MARI, PABLO",87,PENYA INDEPENDENT A
"DIAZ LLABRES, ISAAC","PASCUAL GORNES, ENRIC",8,PENYA CIUTADELLA ESPORTIVA A
"JUANEDA JUANEDA, JOSEP","CAMPS SEOANE, VICTOR",45,PENYA CIUTADELLA ESPORTIVA A
"AGUILAR BOSCH, DAVID","LEON JUAN, VICTOR",45,PENYA CIUTADELLA ESPORTIVA A
"FEDELICH MARQUES, JAN","SALORT MARIN, JORGE",57,PENYA CIUTADELLA ESPORTIVA A
"CAPO MORA, MARC","FLORIT ANGLADA, JOSEP",70,PENYA CIUTADELLA ESPORTIVA A
