jugador_entra,jugador_sale,Minuto,equipo
"CONDE PEREIRA, ALEJANDRO MANUEL","BADJINKA NDIAYE, BUBAKAR",69,SAN FRANCISCO B
"MASSANET CABRER, FRANCESC","SUÁREZ SERRA, ALEX",69,SAN FRANCISCO B
"DIAZ ROMERO, GYLBERT","LUNEGRO, BRUNO",77,SAN FRANCISCO B
"GRUBAC, NOA","LASSO VIAFARA, ANDRES FELIPE",46,UD MAHON
"TEJEDOR MORENO, ALEJANDRO","BOLIVAR PERAL, ROGER",58,UD MAHON
"PEREZ MARTIN, IGNACIO","DE OLIVEIRA MESSIAS, EMMANUEL",58,UD MAHON
"LOPEZ FERNANDEZ, MARC","MASCARO MARTINEZ, IKER",66,UD MAHON
"ELHADJ ABDOULAYE, BALDE","GOMEZ GORDILLO, RAUL",73,UD MAHON
