jugador_entra,jugador_sale,Minuto,equipo
"FERRAGUT DIAZ, TONI","GAYUBAS GONZALEZ, LUIS MIGUEL",65,PLATGES DE CALVIA A
"PUJOL ALOMAR, TELM","CASAUS SANCHEZ, JOSE IGNACIO",70,PLATGES DE CALVIA A
"GARCÍA RODRÍGUEZ, UNAI","PARRA VIZUETE, DANIEL",80,PLATGES DE CALVIA A
"ALCOLEA ESCORCIA, CARLOS","PEREZ SILVENTE, ALEJANDRO",80,PLATGES DE CALVIA A
"PUYA TUR, OSCAR","MOYA PEDREGOSA, ALEJANDRO",45,SD LA SALLE A
"FUSTER CORTES, FERNANDO","SALMERON SEGURA, JONATHAN",45,SD LA SALLE A
"PETRARCA, ELIA","AMAYA MALENO, FRANCISCO",53,SD LA SALLE A
"MARCH MOLINA, MARCOS","VIZCAINO SEGURA, ALAN",58,SD LA SALLE A
"HOMAR GARCIA, ROMAN","VIVARES ARANDA, YANNICK",58,SD LA SALLE A
