jugador_entra,jugador_sale,Minuto,equipo
"ANDEBUELA BARRIOS, PABLO","LUNEGRO, BRUNO",71,SAN FRANCISCO B
"ALARCON CAVERO, JOEL","BADJINKA NDIAYE, BUBAKAR",71,SAN FRANCISCO B
"LLEDO SAMPOL, ADRIA","SUÁREZ SERRA, ALEX",86,SAN FRANCISCO B
"GIRALDE BAUZA, JAVIER","SALAMANCA GALERA, AITOR",88,SAN FRANCISCO B
"PASCUAL RIERA, MIGUEL ANGEL","MAS MAIMO, JOSEP",45,PENYA ARRABAL A
"CASTAÑER PECELLIN, RAFAEL","ARIAS BESTARD, ENZO",59,PENYA ARRABAL A
"SEGUI ESTEBAN, IAN","LEBRERO BENITEZ, HUGO",79,PENYA ARRABAL A
"ROTTLANDER, LENNOX MARKUS","HERRERA IGLESIAS, ADRIAN",79,PENYA ARRABAL A
"VALLESPIR TIMONER, PERE MARC","MUÑOZ BAIXAULI, JUAN",90,PENYA ARRABAL A
