jugador_entra,jugador_sale,Minuto,equipo
"ARGUIMBAU ALLES, MACIA","LOPEZ GONZALEZ, ALEJANDRO",68,PENYA CIUTADELLA ESPORTIVA A
"AGUILAR BOSCH, DAVID","CAMPS SEOANE, VICTOR",80,PENYA CIUTADELLA ESPORTIVA A
"JUANEDA JUANEDA, JOSEP","CAPO MORA, MARC",80,PENYA CIUTADELLA ESPORTIVA A
"ALARCON CAVERO, JOEL","MASSANET CABRER, FRANCESC",46,SAN FRANCISCO B
"TEJADA RODRIGUEZ, JOAN","LOPEZ CABRERA, JESUS",46,SAN FRANCISCO B
"PADILLA BORRAS, PERE","BADJINKA NDIAYE, BUBAKAR",46,SAN FRANCISCO B
"LUNEGRO, BRUNO","SALAMANCA GALERA, AITOR",60,SAN FRANCISCO B
"RIBAS MUÑOZ, SERGI","TEJADA RODRIGUEZ, JOAN",76,SAN FRANCISCO B
