jugador_entra,jugador_sale,Minuto,equipo
"VAZQUEZ SUAREZ, HUGO","HERRERA IGLESIAS, ADRIAN",63,PENYA ARRABAL A
"ARIAS BESTARD, ENZO","MAS MAIMO, JOSEP",63,PENYA ARRABAL A
"ILESO, DIVINE","LEBRERO BENITEZ, HUGO",80,PENYA ARRABAL A
"VALLESPIR TIMONER, PERE MARC","CRESPI BARRERA, LEONARDO",89,PENYA ARRABAL A
"BALLE BRUNET, JOAN","PATRICIO GUAL, MARC",68,CONSTANCIA A
"CHUKWUKERE PULLET, GREGORY IKECHUKWU","BLANCO WEBER, LUCA",75,CONSTANCIA A
"SABATER SANCHO, MARC","ROMAN DE REMENTERIA, ASIER",84,CONSTANCIA A
"KOUJILI EL TALHAOUI, MAROUAN","COLL AREVALO, JORDI",84,CONSTANCIA A
