jugador_entra,jugador_sale,Minuto,equipo
"AIT SAID TAFZATI, NABIL","COULIBALY COULIBALY, MADANE",46,PLA DE NA TESA A
"MONTALBAN ROMERO, MILO JERONIMO","MESA ZAFRA, CHRISTIAN",46,PLA DE NA TESA A
"FERRER FERNANDEZ, ALEJANDRO","ASAMOAH ASANTEWAA, DENIS",62,PLA DE NA TESA A
"CACERES COMAS, SERGI","MORA GISPERT, HUGO",62,PLA DE NA TESA A
"BOSCH PULIDO, NIL","CANTALAPIEDRA LOBATO, IKER",46,FERRERIES A
"DE HARO OLIVES, FRANCESC","FEBRER VILLALONGA, ALBERT",55,FERRERIES A
"SINTES PONS, PAU","FAMIGLIETTI MARQUEZ, LUCA",75,FERRERIES A
