jugador_entra,jugador_sale,Minuto,equipo
"ODERA PACILIO, SANTIAGO","CREUHERAS GARCIA, MATHEO",46,PENYA INDEPENDENT A
"FERRER ROIG, JAUME","LLAMAS MARTINEZ, ERIC",46,PENYA INDEPENDENT A
"BERNHARDT, JOEL PIOTR","AMASKOUT MANGAS, IMAD",57,PENYA INDEPENDENT A
"GHARBI KHAMMAL EL BAKKALI, NASROLLAH","LOPEZ MARI, PABLO",70,PENYA INDEPENDENT A
"GRANDA VILLAVICENCIO, DAVID JOAN","MARTINEZ JUAN, MARTIN",84,PENYA INDEPENDENT A
"DOBLAS TORRES, MIGUEL","ALMERING, BEPPE",60,ANDRATX A
"ALARCON FERRER, ADRIAN","JIMENEZ PASTOR, IKER",68,ANDRATX A
"VARGAS RODRIGUEZ, NICOLAS","SANCHEZ JIMENEZ, FERNANDO",68,ANDRATX A
"POLINTANG ANCHETA, GIANNE LARRY","CASTELLO FERRA, JOAN",78,ANDRATX A
