jugador_entra,jugador_sale,Minuto,equipo
"CLADERA SOBERATS, LLORENÇ","BARRAGAN AGUILO, HECTOR DARIO",59,SAN FRANCISCO B
"ANDEBUELA BARRIOS, PABLO","LOPEZ CABRERA, JESUS",70,SAN FRANCISCO B
"LUNEGRO, BRUNO","TEJADA RODRIGUEZ, JOAN",70,SAN FRANCISCO B
"BADJINKA NDIAYE, BUBAKAR","LEDESMA COR, MATEU",77,SAN FRANCISCO B
"RIBAS MUÑOZ, SERGI","ALARCON CAVERO, JOEL",77,SAN FRANCISCO B
"SANCHIS MARTINEZ, DAVID","PUJOL ALOMAR, TELM",55,PLATGES DE CALVIA A
"GAYUBAS GONZALEZ, LUIS MIGUEL","PARRA VIZUETE, DANIEL",90,PLATGES DE CALVIA A
