jugador_entra,jugador_sale,Minuto,equipo
"DOBLAS TORRES, MIGUEL","VARGAS RODRIGUEZ, NICOLAS",71,ANDRATX A
"CASTELLO FERRA, JOAN","JIMENEZ PASTOR, IKER",71,ANDRATX A
"LEFTER, ANDREI FABIAN","HOMAR GARCIA, ROMAN",83,ANDRATX A
"AMER CASTILLO, MIGUEL","ALARCON FERRER, ADRIAN",88,ANDRATX A
"SEOANE MACIAS, DANIEL","TUR HORRACH, HUG",88,ANDRATX A
"GONZÁLEZ ONETO, ASSIER","FERRER RIGO, SEBASTIÀ",76,POBLENSE A
"GIBSON, JASPER","RETTICH SOLER, JOSEP",90,POBLENSE A
"MENDEZ DUARTE, IVAN","THIAM BORRAS, KARIM",90,POBLENSE A
"MORAGUES MORAGUES, JOAN","VIVES COMAS, JOAN JORDI",90,POBLENSE A
