jugador_entra,jugador_sale,Minuto,equipo
"VIVARES ARANDA, YANNICK","VIZCAINO SEGURA, ALAN",59,SD LA SALLE A
"GIL MASSANET, LLUIS","ESCUERO PARDOS, MARTI",63,SD LA SALLE A
"MARTI RODRIGUEZ, IVAN","RODRIGUEZ MONGELOS, GAEL PAU",63,SD LA SALLE A
"AMAYA MALENO, FRANCISCO","CORTES BOIXO, ALEIX",74,SD LA SALLE A
"SALMERON SEGURA, JONATHAN","MOYA PEDREGOSA, ALEJANDRO",74,SD LA SALLE A
"MORA GISPERT, HUGO","AIT SAID TAFZATI, NABIL",61,PLA DE NA TESA A
"MONTALBAN ROMERO, MILO JERONIMO","NAVARRO BEZARES, JAVIER",75,PLA DE NA TESA A
"MARTINEZ ESPINOSA, DENIS","MASCARÓ SERVERA, JUAN",82,PLA DE NA TESA A
