jugador_entra,jugador_sale,Minuto,equipo
"ALARCON FERRER, ADRIAN","ALMERING, BEPPE",45,ANDRATX A
"DOBLAS TORRES, MIGUEL","ROGEL ARRIAGA, BRYAN STALIN",45,ANDRATX A
"PATRICIO TORRRENS, JUAN","SINTES DIAZ, JOAN",63,ANDRATX A
"JIMENEZ PASTOR, IKER","VARGAS RODRIGUEZ, NICOLAS",75,ANDRATX A
"LIMA PUENTE, KEVIN ARIEL","VILLARRAMIEL PIÑEIRO, IVAN",75,ANDRATX A
"MONTALBAN ROMERO, MILO JERONIMO","CACERES COMAS, SERGI",53,PLA DE NA TESA A
"AIT SAID TAFZATI, NABIL","MONTES MORALES, ADRIAN",89,PLA DE NA TESA A
