jugador_entra,jugador_sale,Minuto,equipo
"PRATS RIPOLL, MIQUEL","BERNHARDT, JOEL PIOTR",46,PENYA INDEPENDENT A
"CREUHERAS GARCIA, MATHEO","EL HABBOULA EL KORTOBI, ABDELMOIZE",46,PENYA INDEPENDENT A
"GHARBI KHAMMAL EL BAKKALI, NASROLLAH","OROZCO RIERA, ASIER",59,PENYA INDEPENDENT A
"LLAMAS MARTINEZ, ERIC","LOPEZ MARI, PABLO",59,PENYA INDEPENDENT A
"FAQUINETTI VERGILIO, SAMUEL","VIERA GONZALEZ, SANTIAGO",85,PENYA INDEPENDENT A
"FRANCO SINGEORZAN, ALEX","FERRA OSPINA, CARLES JOAN",46,PALMA F.C.
"VILLALONGA GÓMEZ, IKER","PORCEL MARTINEZ, JORDI",59,PALMA F.C.
"PELLEGRINO, NICOLA EMANUELE","VICENS VIDAL, PAU",88,PALMA F.C.
"MARCANO FLORIAN, SEBASTIAN JESUS","SAMPOL MARTINEZ, MARC",90,PALMA F.C.
