jugador_entra,jugador_sale,Minuto,equipo
"FERNÁNDEZ CASSO, ALBERTO","AMENGUAL LIRIO, IVAN",46,SP. ATº CIUTAT DE PALMA
"ABRAHAM BOLAÑOS, ISAAC","SARMIENTO CABAÑIN, GABRIEL A",67,SP. ATº CIUTAT DE PALMA
"GOMEZ BLANCA, AARON","GAETE MARTINEZ, ISMAEL",67,SP. ATº CIUTAT DE PALMA
"ORELLANA ZERDA, JORDI","SANS JIMENEZ, MIQUEL ANGEL",77,SP. ATº CIUTAT DE PALMA
"AQUINO GUTIERREZ, DAN JOEL","KRAUSSE, IGNACIO TOMAS",77,SP. ATº CIUTAT DE PALMA
"TEJEDOR MORENO, ALEJANDRO","ELHADJ ABDOULAYE, BALDE",46,UD MAHON
"ESPINOZA ARMIJOS, CARLOS ANDRES","LASSO VIAFARA, DUVAN FELIPE",57,UD MAHON
"LASSO VIAFARA, ANDRES FELIPE","SINTES MELERO, ALVARO",64,UD MAHON
"IZAGUIRRE RODRIGUEZ, RICARDO ABRAHAM","NGONG NGO, FABRICE",64,UD MAHON
