jugador_entra,jugador_sale,Minuto,equipo
"DEYÀ BELTRÁN, SEBASTIÀ","MENDOZA SOLER, MARIO",56,SANTA CATALINA ATº A
"GARCIAS LLABRES, MIQUEL","ALARCON RAGO, THIAGO",56,SANTA CATALINA ATº A
"LOMAS SERVERA, PAU","MARTIN CABALLERO, ANGEL",77,SANTA CATALINA ATº A
"GARCIA BISQUERRA, JAVIER","BARRIGA CATRINA, VICTOR",77,SANTA CATALINA ATº A
"TORRES RIERA, LLUC","GARCIA ALBA, JAVIER",68,U D IBIZA A
"MEDINA ARANDA, SERGIO","BERNASCONI, SANTINO",83,U D IBIZA A
"VALLS ANIORTE, TARIKU","ELIAS ARANDIA, SAMUEL ABEL",85,U D IBIZA A
"SANCHEZ LUIS, MARCO","BELTRAN ALVAREZ, SERGIO",85,U D IBIZA A
