jugador_entra,jugador_sale,Minuto,equipo,Jornada
"MASCARELL LLABRES, MARC","VICH FORTEZA, LLUC",73,SANTA CATALINA ATº A,2
"KOPACH, DANIIL","MENDOZA SOLER, MARIO",81,SANTA CATALINA ATº A,2
"AMASKOUT MANGAS, IMAD","LLAMAS MARTINEZ, ERIC",46,PENYA INDEPENDENT A,2
"CREUHERAS GARCIA, MATHEO","PRATS RIPOLL, MIQUEL",72,PENYA INDEPENDENT A,2
"OROZCO RIERA, ASIER","CORDOBA TUR, MARC",83,PENYA INDEPENDENT A,2
"BERNHARDT, JOEL PIOTR","EL HABBOULA EL KORTOBI, ABDELMOIZE",90,PENYA INDEPENDENT A,2
"CONDE PEREIRA, ALEJANDRO MANUEL","LOPEZ CABRERA, JESUS",46,SAN FRANCISCO B,2
"LLEDO SAMPOL, ADRIA","HADJI, MONCEF TAYEB",46,SAN FRANCISCO B,2
"LUNEGRO, BRUNO","BADJINKA NDIAYE, BUBAKAR",69,SAN FRANCISCO B,2
"ANDEBUELA BARRIOS, PABLO",JOAN,69,SAN FRANCISCO B,2
"CARDONA ALCANTARA, MARC","GIRALDE BAUZA, JAVIER",81,SAN FRANCISCO B,2
"BAUZÁ CASTILLA, SANDRO","PETRARCA, ELIA",62,SD LA SALLE A,2
"SALMERON SEGURA, JONATHAN","FUSTER CORTES, FERNANDO",62,SD LA SALLE A,2
"GIL MASSANET, LLUIS","GARCÍA GARCÍA, ÁLVARO",67,SD LA SALLE A,2
"HOMAR GARCIA, ROMAN","ARBOS DENGRA, DIEGO",67,SD LA SALLE A,2
"MARCH MOLINA, MARCOS","VIVARES ARANDA, YANNICK",77,SD LA SALLE A,2
"ROMAN DE REMENTERIA, ASIER","FONTCUBERTA GALINDO, GABRIEL",46,CONSTANCIA A,2
"BOTELLO CARMONA, PAU","GALVEZ ESPINOZA, BRAD ANTONY",58,CONSTANCIA A,2
"OLIVER GELABERT, PERE","CABEZAS GALLARDO, MANUEL",71,CONSTANCIA A,2
"CHUKWUKERE PULLET, GREGORY IKECHUKWU","BLANCO WEBER, LUCA",77,CONSTANCIA A,2
"THIAM BORRAS, KARIM","CAIMARI FIGUEROLA, JAUME",52,POBLENSE A,2
"AGUILERA PERELLO, ADRIÀ","VIVES COMAS, JOAN JORDI",62,POBLENSE A,2
"VERGER ESTRANY, TOMEU","RETTICH SOLER, JOSEP",62,POBLENSE A,2
"MEFTAH ES SALEMY, BILAL","FERRER RIGO, SEBASTIÀ",79,POBLENSE A,2
"MENDEZ DUARTE, IVAN","MORAGUES MORAGUES, JOAN",79,POBLENSE A,2
"PASCUAL GORNES, ENRIC","FEDELICH MARQUES, JAN",59,PENYA CIUTADELLA ESPORTIVA A,2
"TALTAVULL JUANEDA, JOAN","CAPO MORA, MARC",77,PENYA CIUTADELLA ESPORTIVA A,2
"TALTAVULL VALVERDE, IAN","LOPEZ GONZALEZ, ALEJANDRO",77,PENYA CIUTADELLA ESPORTIVA A,2
"MESTRE RIBOT, PAU","ARCOS MUÑOZ, IKER",61,MANACOR A,2
"ADROVER GARRIDO, GERARD","CORCHADO JIMENEZ, ISAAC",61,MANACOR A,2
"ORTIZ CARROZA, ABRAHAM","LAKHAL ZEROUALE, SAAD",71,MANACOR A,2
"TRIAY PETHERAM, TOMAS ISMAEL","DIMITROV, DIMITAR DIMITROV",71,MANACOR A,2
"RODRIGUEZ LOPEZ, RAUL","MARCOS MONGE, IKER",82,MANACOR A,2
"PATRICIO TORRRENS, JUAN","JIMENEZ PASTOR, IKER",46,ANDRATX A,2
"OPREA, ALESSIO MIHAI","VARGAS RODRIGUEZ, NICOLAS",82,ANDRATX A,2
"CRESPI BARRERA, LEONARDO","PONS SERRANO, ALEIX",61,PENYA ARRABAL A,2
"HERRERA IGLESIAS, ADRIAN","SEGUI ESTEBAN, IAN",61,PENYA ARRABAL A,2
"MUÑOZ BAIXAULI, JUAN","LEBRERO BENITEZ, HUGO",69,PENYA ARRABAL A,2
"ARIAS BESTARD, ENZO","VALLESPIR TIMONER, PERE MARC",69,PENYA ARRABAL A,2
"MAS MAIMO, JOSEP","FIOL ACEITUNO, MIQUEL",90,PENYA ARRABAL A,2
"ASAMOAH ASANTEWAA, DENIS","CACERES COMAS, SERGI",63,PLA DE NA TESA A,2
"CUNI GELABERT, MARC","FERNÁNDEZ RODRÍGUEZ, IKER",71,PLA DE NA TESA A,2
"AIT SAID TAFZATI, NABIL","MONTALBAN ROMERO, MILO JERONIMO",71,PLA DE NA TESA A,2
"MESA ZAFRA, CHRISTIAN","FERRER FERNANDEZ, ALEJANDRO",80,PLA DE NA TESA A,2
"SANCHEZ GARAU, ADRIA","COULIBALY COULIBALY, MADANE",80,PLA DE NA TESA A,2
"LAZARO TORRES, MARIO","CORCINO MUÑOZ, ANDRES",60,MALLORCA B,2
"MOLINA DONAIRE, DANIEL","GARCIA LLOMPART, RAFEL",60,MALLORCA B,2
"COCA ANTELO, ANDREW","VERD ALONSO, ABEL",66,MALLORCA B,2
"FRESNEDA HIDALGO, HUGO","TEJADA LLADONET, ORIOL",78,MALLORCA B,2
"ARAQUE CARRASCOSA, AITOR","HORRACH LLABRES, GERARDO",78,MALLORCA B,2
"CASAUS SANCHEZ, JOSE IGNACIO","GAYUBAS GONZALEZ, LUIS MIGUEL",46,PLATGES DE CALVIA A,2
"ALCOLEA ESCORCIA, CARLOS","SANCHIS MARTINEZ, DAVID",65,PLATGES DE CALVIA A,2
"CARDONA MARTIN, MARCOS","PEREZ SILVENTE, ALEJANDRO",65,PLATGES DE CALVIA A,2
"FERRAGUT DIAZ, TONI","PUJOL ALOMAR, TELM",84,PLATGES DE CALVIA A,2
"GARCÍA RODRÍGUEZ, UNAI","PARRA VIZUETE, DANIEL",86,PLATGES DE CALVIA A,2
"GOMEZ BARBOSA, RICARDO ADRIAN","SANS JIMENEZ, MIQUEL ANGEL",61,SP. ATº CIUTAT DE PALMA,2
"ABRAHAM BOLAÑOS, ISAAC","SARMIENTO CABAÑIN, GABRIEL A",61,SP. ATº CIUTAT DE PALMA,2
"GAETE MARTINEZ, ISMAEL","KRZYZYK SERRANO, PEDRO",61,SP. ATº CIUTAT DE PALMA,2
"BARRY DIALLO, MAMADOU ALIOU","PUJOL FONT, JAUME",72,SP. ATº CIUTAT DE PALMA,2
"AMENGUAL LIRIO, IVAN","MARTINEZ GOMEZ, DYLAN",72,SP. ATº CIUTAT DE PALMA,2
"RODRIGUEZ ROIG, ARIAN","ELIAS ARANDIA, SAMUEL ABEL",45,U D IBIZA A,2
"CUBERO GUASCH, JOAN","VALLS ANIORTE, TARIKU",56,U D IBIZA A,2
"TORRES RIERA, LLUC","GARCIA ALBA, JAVIER",56,U D IBIZA A,2
"GHARBI KHAMMAL EL BAKKALI, NASROLLAH","BERNASCONI, SANTINO",75,U D IBIZA A,2
"GONZALEZ CASURIAGA, THIAGO","PUGLIESE, PAOLO ALBERTO",81,U D IBIZA A,2
"NDIR GUEYE, MOUHAMADOUL LAMIN","ALLENDES SEPULVEDA, MARTIN ALONSO",61,PALMA F.C.,3
"GIL GOMILA, XAYRON","JIMENEZ JARAMILLO, KARLO ANDREU",61,PALMA F.C.,3
"FOLGADO GARNICA, PAULO","SEGORBE GODOY, MARCOS",76,PALMA F.C.,3
"PELLEGRINO, NICOLA EMANUELE","VILLALONGA GÓMEZ, IKER",84,PALMA F.C.,3
"PORCEL MARTINEZ, JORDI","FRANCO SINGEORZAN, ALEX",84,PALMA F.C.,3
"BERNHARDT, JOEL PIOTR","EL HABBOULA EL KORTOBI, ABDELMOIZE",46,PENYA INDEPENDENT A,3
"FERRER ROIG, JAUME","LOPEZ MARI, PABLO",60,PENYA INDEPENDENT A,3
"LLAMAS MARTINEZ, ERIC","CORDOBA TUR, MARC",60,PENYA INDEPENDENT A,3
"RAMON DIAZ, HUGO","VILLAR MARI, BARTOMEU TONI",60,PENYA INDEPENDENT A,3
"OROZCO RIERA, ASIER","MARTINEZ JUAN, MARTIN",70,PENYA INDEPENDENT A,3
"GARCIAS LLABRES, MIQUEL","EZ ZARY SAIDI, ISMAEL",59,SANTA CATALINA ATº A,3
"SASTRE BOTA, JAUME","MENDOZA SOLER, MARIO",59,SANTA CATALINA ATº A,3
"LOMAS SERVERA, PAU","ADROVER MELIS, FRANCESC",70,SANTA CATALINA ATº A,3
"LOPEZ FUXA, AARON","DEYÀ BELTRÁN, SEBASTIÀ",70,SANTA CATALINA ATº A,3
"MASCARELL LLABRES, MARC","MARTIN CABALLERO, ANGEL",77,SANTA CATALINA ATº A,3
"GARCIA HERNANDEZ, JOSE RAMON","MUÑOZ BAIXAULI, JUAN",46,PENYA ARRABAL A,3
"LEBRERO BENITEZ, HUGO","SEGUI ESTEBAN, IAN",56,PENYA ARRABAL A,3
"HERRERA IGLESIAS, ADRIAN","ARIAS BESTARD, ENZO",56,PENYA ARRABAL A,3
"PONS SERRANO, ALEIX","OSUNA REINHARDT, HECTOR",65,PENYA ARRABAL A,3
"ARALUCE SERRA, ADRIAN","CASTAÑER PECELLIN, RAFAEL",75,PENYA ARRABAL A,3
"BORDOY LEAL, PEDRO","MASSANET CABRER, FRANCESC",55,SAN FRANCISCO B,3
"HADJI, MONCEF TAYEB","CARDONA ALCANTARA, MARC",55,SAN FRANCISCO B,3
"GIRALDE BAUZA, JAVIER","SILVA SALINAS, ALEJANDRO",55,SAN FRANCISCO B,3
"BADJINKA NDIAYE, BUBAKAR","RIBAS MUÑOZ, SERGI",63,SAN FRANCISCO B,3
"LOPEZ CABRERA, JESUS","LUNEGRO, BRUNO",63,SAN FRANCISCO B,3
"SINTES PONS, PAU","FAMIGLIETTI MARQUEZ, LUCA",33,FERRERIES A,3
"MARIN HERNANDEZ, PAU","ROTGER LÓPEZ, LLUC",73,FERRERIES A,3
"DE HARO OLIVES, FRANCESC","BOSCH PULIDO, NIL",73,FERRERIES A,3
"BOSCH VALDERRABANO, TONI","JANER BOSCH, NOFRE",73,FERRERIES A,3
"CABALLERO MONTES, DAVID","FLORIT TAJUELO, HECTOR",80,FERRERIES A,3
"COMPANY INGLA, JAUME","MARTIN MONSALVE, IAN",54,CONSTANCIA A,3
"BALLE BRUNET, JOAN","CABEZAS GALLARDO, MANUEL",68,CONSTANCIA A,3
"GALVEZ ESPINOZA, BRAD ANTONY","COLL AREVALO, JORDI",68,CONSTANCIA A,3
"KOUJILI EL TALHAOUI, MAROUAN","ROMAN DE REMENTERIA, ASIER",81,CONSTANCIA A,3
"OLIVER GELABERT, PERE","BLANCO WEBER, LUCA",81,CONSTANCIA A,3
"MARTINEZ BELA, JAVIER","FRESNEDA HIDALGO, HUGO",46,MALLORCA B,3
"MOLINA DONAIRE, DANIEL","GARCIA LLOMPART, RAFEL",46,MALLORCA B,3
"LAZARO TORRES, MARIO","COCA ANTELO, ANDREW",50,MALLORCA B,3
"AVILÉS MAESTRE, JOEL","ARAQUE CARRASCOSA, AITOR",65,MALLORCA B,3
"BIARNES MORENO, ALEJANDRO","HORRACH LLABRES, GERARDO",81,MALLORCA B,3
"CAMPS SEOANE, VICTOR","CAPO MORA, MARC",64,PENYA CIUTADELLA ESPORTIVA A,3
"TALTAVULL VALVERDE, IAN","FLORIT ANGLADA, JOSEP",64,PENYA CIUTADELLA ESPORTIVA A,3
"ARGUIMBAU ALLES, MACIA","PALLICER AGUILO, XAVIER",64,PENYA CIUTADELLA ESPORTIVA A,3
"TALTAVULL JUANEDA, JOAN","TRIAY SASTRE, ADRIA",72,PENYA CIUTADELLA ESPORTIVA A,3
"PASCUAL GORNES, ENRIC","LOPEZ GONZALEZ, ALEJANDRO",72,PENYA CIUTADELLA ESPORTIVA A,3
"KEITA SIDIBE, MADY","SARMIENTO CABAÑIN, GABRIEL A",70,SP. ATº CIUTAT DE PALMA,3
"SANS JIMENEZ, MIQUEL ANGEL","MARTINEZ GOMEZ, DYLAN",70,SP. ATº CIUTAT DE PALMA,3
"GOMEZ BARBOSA, RICARDO ADRIAN","KRZYZYK SERRANO, PEDRO",78,SP. ATº CIUTAT DE PALMA,3
"CORTES MONTANER, LUIS","MUNAR LAZARO, DANIEL",83,SP. ATº CIUTAT DE PALMA,3
"BARRY DIALLO, MAMADOU ALIOU","PUJOL FONT, JAUME",83,SP. ATº CIUTAT DE PALMA,3
"BOLIVAR PERAL, ROGER","TEJEDOR MORENO, ALEJANDRO",76,UD MAHON,3
"LOPEZ FERNANDEZ, MARC","GOMEZ GORDILLO, RAUL",76,UD MAHON,3
"CASADO RAMON, KEVIN","DE OLIVEIRA MESSIAS, KLAYVER",84,UD MAHON,3
"GUTIERREZ SUAREZ, ANGEL","DE OLIVEIRA MESSIAS, EMMANUEL",84,UD MAHON,3
"POSTIGO GARAT, RAUL","ADROVER GARRIDO, GERARD",45,MANACOR A,3
"ORTIZ CARROZA, ABRAHAM","LAMSIAH AJGHOUF, OSSAMA",65,MANACOR A,3
"TRIAY PETHERAM, TOMAS ISMAEL","RODRIGUEZ LOPEZ, RAUL",65,MANACOR A,3
"SOLER CALDENTEY, JOEL","MORENO CALDENTEY, JAIME I",67,MANACOR A,3
"ARCOS MUÑOZ, IKER","DIMITROV, DIMITAR DIMITROV",73,MANACOR A,3
"ASAMOAH ASANTEWAA, DENIS","COULIBALY COULIBALY, MADANE",45,PLA DE NA TESA A,3
"AIT SAID TAFZATI, NABIL","MORA GISPERT, HUGO",67,PLA DE NA TESA A,3
"MESA ZAFRA, CHRISTIAN","DRAGHI, MAXIMO",79,PLA DE NA TESA A,3
"FERRER FERNANDEZ, ALEJANDRO","FERNÁNDEZ RODRÍGUEZ, IKER",83,PLA DE NA TESA A,3
"MASCARÓ SERVERA, JUAN","MONTES MORALES, ADRIAN",83,PLA DE NA TESA A,3
"PETRARCA, ELIA","AMAYA MALENO, FRANCISCO",59,SD LA SALLE A,3
"SALMERON SEGURA, JONATHAN","FUSTER CORTES, FERNANDO",72,SD LA SALLE A,3
"MARTI RODRIGUEZ, IVAN","ARBOS DENGRA, DIEGO",81,SD LA SALLE A,3
"PAYERO MOLINA, NICOLAS","PUJOL ALOMAR, TELM",60,PLATGES DE CALVIA A,3
"SANCHIS MARTINEZ, DAVID","PEREZ SILVENTE, ALEJANDRO",69,PLATGES DE CALVIA A,3
"GARCÍA RODRÍGUEZ, UNAI","CASAUS SANCHEZ, JOSE IGNACIO",78,PLATGES DE CALVIA A,3
"CAIMARI FIGUEROLA, JAUME","AGUILERA PERELLO, ADRIÀ",46,POBLENSE A,3
"FERRER RIGO, SEBASTIÀ","DE LA CRUZ RIERA, JOAN MATEU",65,POBLENSE A,3
"JIMENA BELTRAN, CARLOS","MORAGUES MORAGUES, JOAN",70,POBLENSE A,3
"GONZÁLEZ ONETO, ASSIER","VIVES COMAS, JOAN JORDI",70,POBLENSE A,3
"TORRES RIERA, LLUC","RODRIGUEZ ROIG, ARIAN",54,U D IBIZA A,3
"ELIAS ARANDIA, SAMUEL ABEL","GARCIA ALBA, JAVIER",54,U D IBIZA A,3
"MARTOS VERGARA, DANIEL","AGUILAR COSTA, MARTÍ",71,U D IBIZA A,3
"PATRICIO TORRRENS, JUAN","LUPIAÑEZ ALEMANY, TONI",55,ANDRATX A,3
"VARGAS RODRIGUEZ, NICOLAS","ROGEL ARRIAGA, BRYAN STALIN",61,ANDRATX A,3
"JIMENEZ PASTOR, IKER","DOBLAS TORRES, MIGUEL",61,ANDRATX A,3
"ALARCON FERRER, ADRIAN","SINTES DIAZ, JOAN",79,ANDRATX A,3
"RIBOT FUSTER, MARIO","JIMENEZ PASTOR, IKER",79,ANDRATX A,3
"FAQUINETTI VERGILIO, SAMUEL","ESCANDELL RIBAS, JOAN",43,PENYA INDEPENDENT A,4
"CREUHERAS GARCIA, MATHEO","FERRER TORRES, PEDRO",46,PENYA INDEPENDENT A,4
"PRATS RIPOLL, MIQUEL","GRANDA VILLAVICENCIO, DAVID JOAN",46,PENYA INDEPENDENT A,4
"EL HABBOULA EL KORTOBI, ABDELMOIZE","FERRER ROIG, JAUME",46,PENYA INDEPENDENT A,4
"BOLIVAR PERAL, ROGER","GOMEZ GORDILLO, RAUL",53,UD MAHON,4
"ESPINOZA ARMIJOS, CARLOS ANDRES","DE LA PUENTE JAÑEZ, NICOLAS",58,UD MAHON,4
"GRUBAC, NOA","TEJEDOR MORENO, ALEJANDRO",64,UD MAHON,4
"ELHADJ ABDOULAYE, BALDE","SINTES MELERO, ALVARO",64,UD MAHON,4
"ARIAS BESTARD, ENZO","VALLESPIR TIMONER, PERE MARC",71,PENYA ARRABAL A,4
"MUÑOZ BAIXAULI, JUAN","ARALUCE SERRA, ADRIAN",71,PENYA ARRABAL A,4
"VAZQUEZ SUAREZ, HUGO","PONS SERRANO, ALEIX",78,PENYA ARRABAL A,4
"CONDE PEREIRA, ALEJANDRO MANUEL","RIBAS MUÑOZ, SERGI",50,SAN FRANCISCO B,4
"BARRAGAN AGUILO, HECTOR DARIO","LLEDO SAMPOL, ADRIA",55,SAN FRANCISCO B,4
"TEJADA RODRIGUEZ, JOAN","HADJI, MONCEF TAYEB",55,SAN FRANCISCO B,4
"BADJINKA NDIAYE, BUBAKAR","LUNEGRO, BRUNO",68,SAN FRANCISCO B,4
"SUÁREZ SERRA, ALEX","SALAMANCA GALERA, AITOR",68,SAN FRANCISCO B,4
"PONS CARRERAS, ANGEL","JANER BOSCH, NOFRE",53,FERRERIES A,4
"TRIAY HIERRO, TEO","BOSCH PULIDO, NIL",69,FERRERIES A,4
"JIMENEZ JARAMILLO, KARLO ANDREU","GIL GOMILA, XAYRON",50,PALMA F.C.,4
"VILLALONGA GÓMEZ, IKER","NDIR GUEYE, MOUHAMADOUL LAMIN",50,PALMA F.C.,4
