Jornada,Minuto,jugador,Tipo de Gol
21,47,"LOPEZ FERNANDEZ, MARC",Normal
21,81,"SINTES MELERO, ALVARO",Normal
21,16,"SALAMANCA GALERA, AITOR",Normal
21,24,"GALLARDO DEL VALLE, BENJAMIN",Penalti
21,47,"LEBRERO BENITEZ, HUGO",Normal
21,65,"CASTAÑER PECELLIN, RAFAEL",Normal
21,2,"ONCALA CARAVACA, DANIEL",Normal
21,30,"DIALLO CONDE, ABDOURAHAMANE",Normal
21,36,"DIALLO CONDE, ABDOURAHAMANE",Normal
21,67,"MONTES MORALES, ADRIAN",Normal
21,26,"KRZYZYK SERRANO, PEDRO",Normal
21,36,"KRZYZYK SERRANO, PEDRO",Normal
21,52,"CACERES AMOROS, MATEO",Normal
21,90,"CASAUS SANCHEZ, JOSE IGNACIO",Normal
21,30,"SAMPOL MARTINEZ, MARC",Normal
21,68,"MORELL SACRISTÁN, CARLOS",Normal
21,10,"RETTICH SOLER, JOSEP",Normal
21,28,"BLANCO WEBER, LUCA",Penalti
21,68,"COLL AREVALO, JORDI",Normal
21,35,"FERNANDEZ REY, RAUL",Normal
21,74,"SALMERON SEGURA, JONATHAN",Normal
21,85,"LOPEZ FUXA, AARON",Normal
21,93,"ARBOS DENGRA, DIEGO",Normal
21,12,"MARQUES BAGUR, JOAN",Normal
21,28,"VARGAS RODRIGUEZ, NICOLAS",Normal
21,38,"DOBLAS TORRES, MIGUEL",Normal
21,39,"DOBLAS TORRES, MIGUEL",Normal
21,51,"HOMAR GARCIA, ROMAN",Normal
21,57,"DIAZ LLABRES, ISAAC",Normal
22,9,"CORDOBA TUR, MARC",Normal
22,42,"FEBRER VILLALONGA, ALBERT",Normal
22,79,"FAMIGLIETTI MARQUEZ, LUCA",Normal
22,7,"SALMERON SEGURA, JONATHAN",Normal
22,9,"COMAS HUTTEN, PAU LLUIS",Normal
22,42,"SALAMANCA GALERA, AITOR",Normal
22,55,"COMAS HUTTEN, PAU LLUIS",Normal
22,69,"GALLARDO DEL VALLE, BENJAMIN",Normal
22,45,"MASCARÓ SERVERA, JUAN",Penalti
22,60,"GONZALEZ OBRADOR, ENRIC",Normal
22,11,"LEBRERO BENITEZ, HUGO",Normal
22,67,"MORELL SACRISTÁN, CARLOS",Normal
22,57,"SARMIENTO CABAÑIN, GABRIEL A",Penalti
22,75,"ABRAHAM BOLAÑOS, ISAAC",Normal
22,76,"ABRAHAM BOLAÑOS, ISAAC",Normal
22,85,"BALLE BRUNET, JOAN",Normal
22,66,"PUGLIESE, PAOLO ALBERTO",Normal
22,32,"FERNANDEZ REY, RAUL",Normal
22,54,"MARTINEZ BELA, JAVIER",Normal
22,79,"SIDIROPOULOS, ANASTASIOS",Penalti
22,86,"CORCINO MUÑOZ, ANDRES",Penalti
22,88,"AVILÉS MAESTRE, JOEL",Normal
22,13,"VIVES HIDALGO, IKER",Normal
22,27,"VIVES HIDALGO, IKER",Normal
22,56,"TRIAY SASTRE, ADRIA",Normal
23,8,"TEJEDOR MORENO, ALEJANDRO",Normal
23,24,"FEBRER VILLALONGA, ALBERT",Penalti
23,60,"DE OLIVEIRA MESSIAS, EMMANUEL",Penalti
23,67,"TEJEDOR MORENO, ALEJANDRO",Normal
23,89,"MBAYE RUIZ, MOUHAMAD YASIN",Normal
23,6,"SUÁREZ SERRA, ALEX",Normal
23,6,"SIDIROPOULOS, ANASTASIOS",Normal
23,19,"DIALLO CONDE, ABDOURAHAMANE",Normal
23,31,"SALAMANCA GALERA, AITOR",Normal
23,58,"AVILÉS MAESTRE, JOEL",Normal
23,62,"SIDIROPOULOS, ANASTASIOS",Normal
23,64,"DIALLO CONDE, ABDOURAHAMANE",Normal
23,73,"CONDE PEREIRA, ALEJANDRO MANUEL",Penalti
23,20,"MASCARÓ SERVERA, JUAN",Normal
23,65,"KRZYZYK SERRANO, PEDRO",Normal
23,77,"MASCARÓ SERVERA, JUAN",Normal
23,89,"CORTES MONTANER, LUIS",Normal
23,90,"VIZCAINO SEGURA, ALAN",Normal
23,38,"OLIVER GELABERT, PERE",Penalti
23,55,"CRESPI LUCENA, JUAN MIQUEL",Normal
23,69,"SANCHEZ RAMIREZ, JAVIER",Penalti
23,72,"COMPANY INGLA, JAUME",Normal
23,89,"BOTELLO CARMONA, PAU",Normal
23,92,"GARCIAS LLABRES, MIQUEL",Normal
23,77,"PONS MOLL, FRANCESC",Penalti
24,11,"LEBRERO BENITEZ, HUGO",Normal
24,69,"HERRERA IGLESIAS, ADRIAN",Normal
24,78,"SEGUI ESTEBAN, IAN",Normal
24,83,"ARIAS BESTARD, ENZO",Normal
24,63,"NDIR GUEYE, MOUHAMADOUL LAMIN",Normal
24,83,"AVILÉS MAESTRE, JOEL",Normal
24,85,"AVILÉS MAESTRE, JOEL",Normal
24,25,"DEYÀ BELTRÁN, SEBASTIÀ",Normal
24,51,"SARMIENTO CABAÑIN, GABRIEL A",Normal
24,68,"AMENGUAL PRIETO, CHRISTIAN",Normal
24,93,"PASCUAL GORNES, ENRIC",Normal
24,3,"SALMERON SEGURA, JONATHAN",Normal
24,15,"RODRIGUEZ MONGELOS, GAEL PAU",Normal
24,27,"FERNANDEZ CABRERA, DAVID",Normal
24,45,"ARBOS DENGRA, DIEGO",Normal
24,11,"CACERES COMAS, SERGI",Normal
24,30,"MASCARÓ SERVERA, JUAN",Normal
24,81,"SANCHEZ RAMIREZ, JAVIER",Penalti
24,51,"SUÁREZ SERRA, ALEX",Normal
24,66,"SALAMANCA GALERA, AITOR",Normal
24,87,"LLEDO SAMPOL, ADRIA",Normal
24,2,"PEREZ SILVENTE, ALEJANDRO",Normal
24,41,"EXPOSITO BINNEWIES, ALEJANDRO",Normal
24,45,"GORLA, AGUSTIN",Normal
24,55,"GORLA, AGUSTIN",Normal
24,60,"PARRA VIZUETE, DANIEL",Normal
24,70,"GARCIA ALBA, JAVIER",Normal
25,10,"DE OLIVEIRA MESSIAS, KLAYVER",Normal
25,23,"CRESPI BARRERA, LEONARDO",Normal
25,26,"DE OLIVEIRA MESSIAS, KLAYVER",Penalti
25,49,"SINTES MELERO, ALVARO",Normal
25,55,"CRESPI BARRERA, LEONARDO",Penalti
25,59,"CRESPI BARRERA, LEONARDO",Normal
25,4,"EL ATTARINE BOUZID, MOHAMED",Normal
25,26,"DIALLO CONDE, ABDOURAHAMANE",Normal
25,48,"CORCINO MUÑOZ, ANDRES",Normal
25,51,"SIDIROPOULOS, ANASTASIOS",Normal
25,61,"BURGAYA GENOVART, FERRAN",Normal
25,88,"HORRACH LLABRES, GERARDO",Normal
25,26,"KRZYZYK SERRANO, PEDRO",Normal
25,47,"KRZYZYK SERRANO, PEDRO",Normal
25,90,"GOMEZ BLANCA, AARON",Normal
25,14,"RODRIGUEZ MONGELOS, GAEL PAU",Normal
25,23,"RODRIGUEZ MONGELOS, GAEL PAU",Normal
25,25,"MONTALBAN ROMERO, MILO JERONIMO",Normal
25,28,"FUSTER GONZALEZ, SERGI",Normal
25,47,"MASCARÓ SERVERA, JUAN",Normal
25,69,"ONCALA CARAVACA, DANIEL",Normal
25,71,"MONTES MORALES, ADRIAN",Normal
25,1,"FRANCO SINGEORZAN, ALEX",Normal
25,11,"RETTICH SOLER, JOSEP",Normal
25,12,"GIL GOMILA, XAYRON",Normal
25,44,"FRANCO SINGEORZAN, ALEX",Normal
25,79,"FRANCO SINGEORZAN, ALEX",Normal
25,86,"VILLALONGA GÓMEZ, IKER",Normal
25,50,"GARCIA MEDRANO, MARCOS",Normal
25,65,"PONS MOLL, FRANCESC",Penalti
