jornada,equipo_local,equipo_visitante,cod_acta,link_acta,acta_extraida
10,"MANACOR ""A""","SAN FRANCISCO ""B""",720698.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=720698&cod_acta=720698,Si
10,"U D IBIZA ""A""","SANTA CATALINA ATº ""A""",718212.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=718212&cod_acta=718212,Si
10,"PENYA CIUTADELLA ESPORTIVA ""A""","PLA DE NA TESA ""A""",718163.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=718163&cod_acta=718163,Si
10,"PLATGES DE CALVIA ""A""","CONSTANCIA ""A""",670604.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670604&cod_acta=670604,Si
11,"SD LA SALLE ""A""","MALLORCA ""B""",670605.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670605&cod_acta=670605,Si
11,"PENYA ARRABAL ""A""","POBLENSE ""A""",670606.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670606&cod_acta=670606,Si
11,"FERRERIES ""A""",SP. ATº CIUTAT DE PALMA,670607.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670607&cod_acta=670607,Si
11,"PENYA INDEPENDENT ""A""","ANDRATX ""A""",670608.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670608&cod_acta=670608,Si
11,PALMA F.C.,"MANACOR ""A""",670609.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670609&cod_acta=670609,Si
11,"SAN FRANCISCO ""B""","U D IBIZA ""A""",670610.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670610&cod_acta=670610,Si
11,"SANTA CATALINA ATº ""A""","PENYA CIUTADELLA ESPORTIVA ""A""",670611.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670611&cod_acta=670611,Si
11,"PLA DE NA TESA ""A""","PLATGES DE CALVIA ""A""",670612.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670612&cod_acta=670612,Si
11,UD MAHON,"CONSTANCIA ""A""",670613.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670613&cod_acta=670613,Si
12,"MALLORCA ""B""",UD MAHON,670614.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670614&cod_acta=670614,Si
12,"POBLENSE ""A""","SD LA SALLE ""A""",670615.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670615&cod_acta=670615,Si
12,SP. ATº CIUTAT DE PALMA,"PENYA ARRABAL ""A""",670616.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670616&cod_acta=670616,Si
12,"ANDRATX ""A""","FERRERIES ""A""",670617.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670617&cod_acta=670617,Si
12,"MANACOR ""A""","PENYA INDEPENDENT ""A""",670618.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670618&cod_acta=670618,Si
12,"U D IBIZA ""A""",PALMA F.C.,670619.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670619&cod_acta=670619,Si
12,"PENYA CIUTADELLA ESPORTIVA ""A""","SAN FRANCISCO ""B""",670620.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670620&cod_acta=670620,Si
12,"PLATGES DE CALVIA ""A""","SANTA CATALINA ATº ""A""",670621.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670621&cod_acta=670621,Si
12,"CONSTANCIA ""A""","PLA DE NA TESA ""A""",670622.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670622&cod_acta=670622,Si
13,"MALLORCA ""B""","POBLENSE ""A""",670623.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670623&cod_acta=670623,Si
13,"SD LA SALLE ""A""",SP. ATº CIUTAT DE PALMA,670624.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670624&cod_acta=670624,Si
13,"PENYA ARRABAL ""A""","ANDRATX ""A""",670625.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670625&cod_acta=670625,Si
13,"FERRERIES ""A""","MANACOR ""A""",670626.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670626&cod_acta=670626,Si
13,"PENYA INDEPENDENT ""A""","U D IBIZA ""A""",670627.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670627&cod_acta=670627,Si
13,PALMA F.C.,"PENYA CIUTADELLA ESPORTIVA ""A""",670628.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670628&cod_acta=670628,Si
13,"SAN FRANCISCO ""B""","PLATGES DE CALVIA ""A""",670629.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670629&cod_acta=670629,Si
13,"SANTA CATALINA ATº ""A""","CONSTANCIA ""A""",670630.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670630&cod_acta=670630,Si
13,UD MAHON,"PLA DE NA TESA ""A""",670631.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670631&cod_acta=670631,Si
14,"POBLENSE ""A""",UD MAHON,670632.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670632&cod_acta=670632,Si
14,SP. ATº CIUTAT DE PALMA,"MALLORCA ""B""",670633.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670633&cod_acta=670633,Si
14,"ANDRATX ""A""","SD LA SALLE ""A""",670634.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670634&cod_acta=670634,Si
14,"MANACOR ""A""","PENYA ARRABAL ""A""",670635.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670635&cod_acta=670635,Si
14,"U D IBIZA ""A""","FERRERIES ""A""",670636.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670636&cod_acta=670636,Si
14,"PENYA CIUTADELLA ESPORTIVA ""A""","PENYA INDEPENDENT ""A""",670637.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670637&cod_acta=670637,Si
14,"PLATGES DE CALVIA ""A""",PALMA F.C.,670638.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670638&cod_acta=670638,Si
14,"CONSTANCIA ""A""","SAN FRANCISCO ""B""",670639.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670639&cod_acta=670639,Si
14,"PLA DE NA TESA ""A""","SANTA CATALINA ATº ""A""",670640.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670640&cod_acta=670640,Si
15,SP. ATº CIUTAT DE PALMA,"POBLENSE ""A""",670794.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670794&cod_acta=670794,Si
15,"MALLORCA ""B""","ANDRATX ""A""",670642.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670642&cod_acta=670642,Si
15,"SD LA SALLE ""A""","MANACOR ""A""",670643.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670643&cod_acta=670643,Si
15,"PENYA ARRABAL ""A""","U D IBIZA ""A""",670644.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670644&cod_acta=670644,Si
15,"FERRERIES ""A""","PENYA CIUTADELLA ESPORTIVA ""A""",670645.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670645&cod_acta=670645,Si
15,"PENYA INDEPENDENT ""A""","PLATGES DE CALVIA ""A""",670646.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670646&cod_acta=670646,Si
15,PALMA F.C.,"CONSTANCIA ""A""",670647.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670647&cod_acta=670647,Si
15,"SAN FRANCISCO ""B""","PLA DE NA TESA ""A""",670648.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670648&cod_acta=670648,Si
15,UD MAHON,"SANTA CATALINA ATº ""A""",670649.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670649&cod_acta=670649,Si
16,UD MAHON,SP. ATº CIUTAT DE PALMA,670650.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670650&cod_acta=670650,Si
16,"ANDRATX ""A""","POBLENSE ""A""",670651.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670651&cod_acta=670651,Si
16,"MANACOR ""A""","MALLORCA ""B""",670652.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670652&cod_acta=670652,Si
16,"U D IBIZA ""A""","SD LA SALLE ""A""",670653.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670653&cod_acta=670653,Si
16,"PENYA CIUTADELLA ESPORTIVA ""A""","PENYA ARRABAL ""A""",670654.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670654&cod_acta=670654,Si
16,"PLATGES DE CALVIA ""A""","FERRERIES ""A""",670655.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670655&cod_acta=670655,Si
16,"CONSTANCIA ""A""","PENYA INDEPENDENT ""A""",670656.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670656&cod_acta=670656,Si
16,"PLA DE NA TESA ""A""",PALMA F.C.,670657.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670657&cod_acta=670657,Si
16,"SANTA CATALINA ATº ""A""","SAN FRANCISCO ""B""",670658.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670658&cod_acta=670658,Si
17,SP. ATº CIUTAT DE PALMA,"ANDRATX ""A""",670659.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670659&cod_acta=670659,Si
17,"POBLENSE ""A""","MANACOR ""A""",670660.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670660&cod_acta=670660,Si
17,"MALLORCA ""B""","U D IBIZA ""A""",670661.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670661&cod_acta=670661,Si
17,"SD LA SALLE ""A""","PENYA CIUTADELLA ESPORTIVA ""A""",670662.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670662&cod_acta=670662,Si
17,"PENYA ARRABAL ""A""","PLATGES DE CALVIA ""A""",670663.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670663&cod_acta=670663,Si
17,"FERRERIES ""A""","CONSTANCIA ""A""",670664.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670664&cod_acta=670664,Si
17,"PENYA INDEPENDENT ""A""","PLA DE NA TESA ""A""",670665.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670665&cod_acta=670665,Si
17,PALMA F.C.,"SANTA CATALINA ATº ""A""",670666.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670666&cod_acta=670666,Si
17,"SAN FRANCISCO ""B""",UD MAHON,670667.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670667&cod_acta=670667,Si
18,PALMA F.C.,"SAN FRANCISCO ""B""",670668.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670668&cod_acta=670668,Si
18,"PENYA INDEPENDENT ""A""","SANTA CATALINA ATº ""A""",670669.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670669&cod_acta=670669,Si
18,"FERRERIES ""A""","PLA DE NA TESA ""A""",670670.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670670&cod_acta=670670,Si
18,"PENYA ARRABAL ""A""","CONSTANCIA ""A""",670671.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670671&cod_acta=670671,Si
18,"SD LA SALLE ""A""","PLATGES DE CALVIA ""A""",670672.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670672&cod_acta=670672,Si
18,"MALLORCA ""B""","PENYA CIUTADELLA ESPORTIVA ""A""",670673.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670673&cod_acta=670673,Si
18,"POBLENSE ""A""","U D IBIZA ""A""",670674.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670674&cod_acta=670674,Si
18,SP. ATº CIUTAT DE PALMA,"MANACOR ""A""",670675.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670675&cod_acta=670675,Si
18,"ANDRATX ""A""",UD MAHON,,,Si
