cod_temporada,cod_competicion,cod_grupo,jornada,equipo_local,equipo_visitante,cod_acta,link_acta,acta_extraida
20,7077248,7077249,4,"PENYA ARRABAL ""A""","SAN FRANCISCO ""B""",670544.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670544&cod_acta=670544,Si
20,7077248,7077249,4,"SD LA SALLE ""A""","SANTA CATALINA ATº ""A""",670545.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670545&cod_acta=670545,Si
20,7077248,7077249,4,"MALLORCA ""B""","PLA DE NA TESA ""A""",670546.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670546&cod_acta=670546,Si
20,7077248,7077249,4,"POBLENSE ""A""","CONSTANCIA ""A""",670547.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670547&cod_acta=670547,Si
20,7077248,7077249,4,SP. ATº CIUTAT DE PALMA,"PLATGES DE CALVIA ""A""",670548.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670548&cod_acta=670548,Si
20,7077248,7077249,4,"PENYA CIUTADELLA ESPORTIVA ""A""","ANDRATX ""A""",670702.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670702&cod_acta=670702,Si
20,7077248,7077249,4,"MANACOR ""A""","U D IBIZA ""A""",670550.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670550&cod_acta=670550,Si
20,7077248,7077249,5,"PENYA INDEPENDENT ""A""","FERRERIES ""A""",670551.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670551&cod_acta=670551,Si
20,7077248,7077249,5,PALMA F.C.,"PENYA ARRABAL ""A""",670552.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670552&cod_acta=670552,Si
20,7077248,7077249,5,"SAN FRANCISCO ""B""","SD LA SALLE ""A""",670553.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670553&cod_acta=670553,Si
20,7077248,7077249,5,"SANTA CATALINA ATº ""A""","MALLORCA ""B""",670554.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670554&cod_acta=670554,Si
20,7077248,7077249,5,"PLA DE NA TESA ""A""","POBLENSE ""A""",670555.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670555&cod_acta=670555,Si
20,7077248,7077249,5,"CONSTANCIA ""A""",SP. ATº CIUTAT DE PALMA,670556.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670556&cod_acta=670556,Si
20,7077248,7077249,5,"PLATGES DE CALVIA ""A""","ANDRATX ""A""",670557.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670557&cod_acta=670557,Si
20,7077248,7077249,5,"PENYA CIUTADELLA ESPORTIVA ""A""","MANACOR ""A""",670558.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670558&cod_acta=670558,Si
20,7077248,7077249,5,UD MAHON,"U D IBIZA ""A""",670559.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670559&cod_acta=670559,Si
20,7077248,7077249,6,"FERRERIES ""A""",UD MAHON,670560.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670560&cod_acta=670560,Si
20,7077248,7077249,6,"PENYA ARRABAL ""A""","PENYA INDEPENDENT ""A""",670561.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670561&cod_acta=670561,Si
20,7077248,7077249,6,"SD LA SALLE ""A""",PALMA F.C.,670562.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670562&cod_acta=670562,Si
20,7077248,7077249,6,"MALLORCA ""B""","SAN FRANCISCO ""B""",670563.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670563&cod_acta=670563,Si
20,7077248,7077249,6,"POBLENSE ""A""","SANTA CATALINA ATº ""A""",670564.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670564&cod_acta=670564,Si
20,7077248,7077249,6,SP. ATº CIUTAT DE PALMA,"PLA DE NA TESA ""A""",670565.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670565&cod_acta=670565,Si
20,7077248,7077249,6,"ANDRATX ""A""","CONSTANCIA ""A""",670566.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670566&cod_acta=670566,Si
20,7077248,7077249,6,"MANACOR ""A""","PLATGES DE CALVIA ""A""",670567.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670567&cod_acta=670567,Si
20,7077248,7077249,6,"U D IBIZA ""A""","PENYA CIUTADELLA ESPORTIVA ""A""",670568.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670568&cod_acta=670568,Si
20,7077248,7077249,7,"FERRERIES ""A""","PENYA ARRABAL ""A""",670569.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670569&cod_acta=670569,Si
20,7077248,7077249,7,"PENYA INDEPENDENT ""A""","SD LA SALLE ""A""",670570.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670570&cod_acta=670570,Si
20,7077248,7077249,7,PALMA F.C.,"MALLORCA ""B""",670571.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670571&cod_acta=670571,Si
20,7077248,7077249,7,"SAN FRANCISCO ""B""","POBLENSE ""A""",670572.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670572&cod_acta=670572,Si
20,7077248,7077249,7,"SANTA CATALINA ATº ""A""",SP. ATº CIUTAT DE PALMA,670573.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670573&cod_acta=670573,Si
20,7077248,7077249,7,"PLA DE NA TESA ""A""","ANDRATX ""A""",670574.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670574&cod_acta=670574,Si
20,7077248,7077249,7,"CONSTANCIA ""A""","MANACOR ""A""",670575.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670575&cod_acta=670575,Si
20,7077248,7077249,7,"PLATGES DE CALVIA ""A""","U D IBIZA ""A""",670576.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670576&cod_acta=670576,Si
20,7077248,7077249,7,UD MAHON,"PENYA CIUTADELLA ESPORTIVA ""A""",670577.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670577&cod_acta=670577,Si
20,7077248,7077249,8,"PENYA ARRABAL ""A""",UD MAHON,670578.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670578&cod_acta=670578,Si
20,7077248,7077249,8,"SD LA SALLE ""A""","FERRERIES ""A""",670579.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670579&cod_acta=670579,Si
20,7077248,7077249,8,"MALLORCA ""B""","PENYA INDEPENDENT ""A""",670580.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670580&cod_acta=670580,Si
20,7077248,7077249,8,"POBLENSE ""A""",PALMA F.C.,670581.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670581&cod_acta=670581,Si
20,7077248,7077249,8,SP. ATº CIUTAT DE PALMA,"SAN FRANCISCO ""B""",670582.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670582&cod_acta=670582,Si
20,7077248,7077249,8,"ANDRATX ""A""","SANTA CATALINA ATº ""A""",670583.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670583&cod_acta=670583,Si
20,7077248,7077249,8,"MANACOR ""A""","PLA DE NA TESA ""A""",670584.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670584&cod_acta=670584,Si
20,7077248,7077249,8,"U D IBIZA ""A""","CONSTANCIA ""A""",670585.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670585&cod_acta=670585,Si
20,7077248,7077249,8,"PENYA CIUTADELLA ESPORTIVA ""A""","PLATGES DE CALVIA ""A""",670586.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670586&cod_acta=670586,Si
20,7077248,7077249,9,"PENYA ARRABAL ""A""","SD LA SALLE ""A""",670587.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670587&cod_acta=670587,Si
20,7077248,7077249,9,"FERRERIES ""A""","MALLORCA ""B""",717919.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=717919&cod_acta=717919,Si
20,7077248,7077249,9,"PENYA INDEPENDENT ""A""","POBLENSE ""A""",670589.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670589&cod_acta=670589,Si
20,7077248,7077249,9,PALMA F.C.,SP. ATº CIUTAT DE PALMA,670590.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670590&cod_acta=670590,Si
20,7077248,7077249,9,"SAN FRANCISCO ""B""","ANDRATX ""A""",670591.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670591&cod_acta=670591,Si
20,7077248,7077249,9,"SANTA CATALINA ATº ""A""","MANACOR ""A""",670592.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670592&cod_acta=670592,Si
20,7077248,7077249,9,"PLA DE NA TESA ""A""","U D IBIZA ""A""",670593.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670593&cod_acta=670593,Si
20,7077248,7077249,9,"CONSTANCIA ""A""","PENYA CIUTADELLA ESPORTIVA ""A""",670594.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670594&cod_acta=670594,Si
